Belarus, <img name = 'img1' width='125' height='75' src = 'belarus.png' />, 375, 9508
Belgium, <img name = 'img2' width='125' height='75' src = 'belgium.png' />, 32, 11838158
Brazil, <img name = 'img3' width='125' height='75' src = 'brazil.png' />, 55, 209684950
Columbia, <img name = 'img4' width='125' height='75' src = 'columbia.png' />, 57, 49984000
Croatia, <img name = 'img5' width='125' height='75' src = 'croatia.png' />, 385, 4190669
Czech, <img name = 'img6' width='125' height='75' src = 'czech.png' />, 420, 10578820
Greece, <img name = 'img7' width='125' height='75' src = 'greece.png' />, 30, 10846979
Italy, <img name = 'img8' width='125' height='75' src = 'italy.png' />, 39, 59589445
Portugal, <img name = 'img9' width='125' height='75' src = 'portugal.png' />, 351, 10374822
Russia, <img name = 'img10' width='125' height='75'  src = 'russia.png' />, 7, 146880432
USA, <img name = 'img11' width='125' height='75' src = 'usa.png' />, 1, 330604442
Zimbabwe, <img name = 'img12' width='125' height='75' src = 'zimbabwe.png' />, 263, 25529904
